partid,participant id
task_ord,task order
cond,condition (incr: increasing; decr: decreasing size of choice set)
task_ind,task index
task,task
session,php session id
time,unix time stamp
gamble_ind,gamble index
gamble_lab,gamble label
sample_ind,sample index
sample_box,"sample box (box number, from left to right; 1-2 if nopt=2; 1-4 if nopt=4; 0 if not sampled at all)"
sample_opt,sample option (randomized allocation of [a/b] to boxes 1-2 if nopt=2;  [a/b/c/d] to boxes 1-4 if nopt=4; 0 if not sample at all)
sample_out,sample outcome
sample_rt,sample reaction time (miliseconds)
nopt,number of options in current choice set
decision,chosen option in the final decision: [a/b] if nopt=2; [a/b/c/d] if nopt=4
H,"was the higher-EV option chosen in the final decision (0: no, 1;yes)"
