"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
90222501,"dfd_dfe","incr",1,"dfd","976200865fd394bedeb69be97f810f78",1413556444,1,"soep1_2",1,"a",0,7862,2,1,1
90222501,"dfd_dfe","incr",1,"dfd","976200865fd394bedeb69be97f810f78",1413556450,2,"soep2_2",1,"a",4,3323,2,1,1
90222501,"dfd_dfe","incr",1,"dfd","976200865fd394bedeb69be97f810f78",1413556463,3,"soep3_4",1,"a",0,10376,4,1,1
90222501,"dfd_dfe","incr",1,"dfd","976200865fd394bedeb69be97f810f78",1413556470,4,"soep4_4",4,"a",0,5080,4,1,1
90222501,"dfd_dfe","incr",2,"dfe","976200865fd394bedeb69be97f810f78",1413556524,1,"soep1_2",2,"b",3,1123,2,0,0
90222501,"dfd_dfe","incr",2,"dfe","976200865fd394bedeb69be97f810f78",1413556541,2,"soep2_2",2,"b",3,857,2,0,0
90222501,"dfd_dfe","incr",2,"dfe","976200865fd394bedeb69be97f810f78",1413556570,3,"soep3_4",3,"d",0,1087,4,0,1
90222501,"dfd_dfe","incr",2,"dfe","976200865fd394bedeb69be97f810f78",1413556600,4,"soep4_4",2,"a",34,1744,4,1,1
90226801,"dfd_dfe","incr",1,"dfd","ee2230e5009cf195ef55cf820120e553",1416504096,1,"soep1_2",2,"a",0,24129,2,1,1
90226801,"dfd_dfe","incr",1,"dfd","ee2230e5009cf195ef55cf820120e553",1416504108,2,"soep2_2",2,"b",3,7515,2,0,0
90226801,"dfd_dfe","incr",1,"dfd","ee2230e5009cf195ef55cf820120e553",1416504131,3,"soep3_4",4,"a",0,20266,4,1,1
90226801,"dfd_dfe","incr",1,"dfd","ee2230e5009cf195ef55cf820120e553",1416504144,4,"soep4_4",2,"a",34,10119,4,1,1
90226801,"dfd_dfe","incr",2,"dfe","ee2230e5009cf195ef55cf820120e553",1416504301,1,"soep1_2",2,"a",0,3043,2,1,1
90226801,"dfd_dfe","incr",2,"dfe","ee2230e5009cf195ef55cf820120e553",1416504344,2,"soep2_2",2,"b",3,1521,2,0,0
90226801,"dfd_dfe","incr",2,"dfe","ee2230e5009cf195ef55cf820120e553",1416504419,3,"soep3_4",2,"b",0,1230,4,0,1
90226801,"dfd_dfe","incr",2,"dfe","ee2230e5009cf195ef55cf820120e553",1416504467,4,"soep4_4",3,"a",0,1167,4,1,1
90233001,"dfd_dfe","incr",1,"dfd","8b68b5894a838dab088d96e96d72043f",1422886737,1,"soep1_2",1,"b",3,23235,2,0,0
90233001,"dfd_dfe","incr",1,"dfd","8b68b5894a838dab088d96e96d72043f",1422886740,2,"soep2_2",2,"a",4,212,2,1,1
90233001,"dfd_dfe","incr",1,"dfd","8b68b5894a838dab088d96e96d72043f",1422886769,3,"soep3_4",4,"c",3,26281,4,0,0
90233001,"dfd_dfe","incr",1,"dfd","8b68b5894a838dab088d96e96d72043f",1422886788,4,"soep4_4",1,"c",3,14205,4,0,0
90233001,"dfd_dfe","incr",2,"dfe","8b68b5894a838dab088d96e96d72043f",1422886883,1,"soep1_2",1,"b",3,1936,2,0,0
90233001,"dfd_dfe","incr",2,"dfe","8b68b5894a838dab088d96e96d72043f",1422886901,2,"soep2_2",1,"b",3,3371,2,0,0
90233001,"dfd_dfe","incr",2,"dfe","8b68b5894a838dab088d96e96d72043f",1422886936,3,"soep3_4",1,"c",3,3205,4,0,0
90233001,"dfd_dfe","incr",2,"dfe","8b68b5894a838dab088d96e96d72043f",1422886967,4,"soep4_4",3,"b",0,338,4,0,1
90234901,"dfe_dfd","decr",1,"dfe","9d005a1f02b19c8361d62e65a92e4fe4",1416327689,1,"soep4_4",4,"d",4,1743,4,0,1
90234901,"dfe_dfd","decr",1,"dfe","9d005a1f02b19c8361d62e65a92e4fe4",1416327811,2,"soep3_4",3,"d",0,1250,4,0,1
90234901,"dfe_dfd","decr",1,"dfe","9d005a1f02b19c8361d62e65a92e4fe4",1416327877,3,"soep2_2",1,"a",0,928,2,1,1
90234901,"dfe_dfd","decr",1,"dfe","9d005a1f02b19c8361d62e65a92e4fe4",1416327963,4,"soep1_2",2,"b",3,1087,2,0,0
90234901,"dfe_dfd","decr",2,"dfd","9d005a1f02b19c8361d62e65a92e4fe4",1416328068,1,"soep4_4",2,"b",0,46812,4,0,1
90234901,"dfe_dfd","decr",2,"dfd","9d005a1f02b19c8361d62e65a92e4fe4",1416328093,2,"soep3_4",4,"c",3,22911,4,0,0
90234901,"dfe_dfd","decr",2,"dfd","9d005a1f02b19c8361d62e65a92e4fe4",1416328098,3,"soep2_2",2,"a",0,3673,2,1,1
90234901,"dfe_dfd","decr",2,"dfd","9d005a1f02b19c8361d62e65a92e4fe4",1416328103,4,"soep1_2",2,"b",3,3040,2,0,0
