"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
0.00374771631371397,-0.0854918106285707,0.0926204962221922,0.00101802054547218,0.00317686657009079,1520084465.43067,"SOEPgen","no","no","no","no","no","yes","no","no","no","no","incomenet",1,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.125652559365545,0.031732493709819,0.226913290560209,0.0159095644644888,0.0122720652742558,1520084441.0873,"SOEPdri","no","no","no","no","no","yes","no","no","no","no","incomenet",2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.107972856509021,0.0171533727432501,0.199782705035121,0.0120088515300978,0.010662073465965,1520084465.70526,"SOEPinv","no","no","no","no","no","yes","no","no","no","no","incomenet",3,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0553281164542243,-0.140037654203467,0.0315117188151507,0.00363026877532809,0.0064081285218851,1520084465.69703,"SOEPrec","no","no","no","no","no","yes","no","no","no","no","incomenet",4,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0156424756927268,-0.0736243884813051,0.102190255378412,0.00113782431939788,0.003334436014423,1520084466.6261,"SOEPocc","no","no","no","no","no","yes","no","no","no","no","incomenet",5,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.058031006992399,-0.0331761317883001,0.149423533010787,0.00345015008775444,0.00614676682773313,1520084466.32603,"SOEPhea","no","no","no","no","no","yes","no","no","no","no","incomenet",6,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.053783269225917,-0.036654416990569,0.142409284494093,0.00299544552810239,0.00546553318838667,1520084468.2554,"SOEPsoc","no","no","no","no","no","yes","no","no","no","no","incomenet",7,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0746975474829664,-0.17312288864716,0.0248511611558319,0.00480174991401606,0.00690561618189809,1520084466.70218,"S.dfe2","no","no","no","no","no","yes","no","no","no","no","incomenet",8,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
0.0131413532427513,-0.0775701821817908,0.1075697235368,0.00107062644536725,0.00332133095372125,1520084468.4284,"S.dfe4","no","no","no","no","no","yes","no","no","no","no","incomenet",9,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.052584806014019,-0.142922388807182,0.0376505808324671,0.00289185067203327,0.00547224442418912,1520084468.83594,"R.dfe2","no","no","no","no","no","yes","no","no","no","no","incomenet",10,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
